ONTOLOGY,ID,Description,NES,setSize,pvalue,p.adjust,core_enrichment
MF,GO:0043167,ion binding,-1.6473012849703172,202,0.0019463413514007458,0.4985258403183505,ANXA7/PLEKHA1/RNF180/IRGQ/STAC/PYGL/LANCL1/ERMP1/MAP4K5/ADCY9/KDM7A/ADCY7/CDKL1/SNX4/CDK6/KLF11/MAP4K2/CAMKK1/DDHD1/PRKAR2A/FKBP9/TGFBR1/TUBAL3/ACAD11/USP46/NUDT15/RBSN/ARSK/MICAL2/ASXL2/MKNK2/PHLPP2/PLCD4/RAP2A/SUMF1/ZMYND11/POMK/RASGRP2/ANO1/EDEM1/DOHH/LBR/OMA1/ACVR2B/CMPK1/EGLN3/RPS6KA1/PADI3/DDHD2/CDH20/TPM4/PRKAA2/RAB15/ARG2/CYP26B1/ZNF367/RHEBL1/PLA2G3
MF,GO:0003824,catalytic activity,-1.5814025686094655,219,0.002174187798066726,0.4985258403183505,PYGL/LANCL1/IL1RAP/ERMP1/MAP4K5/ADCY9/KDM7A/ADCY7/NEDD4/CDKL1/CDK6/MAP4K2/CAMKK1/DDHD1/DNAL4/FKBP9/TGFBR1/TUBAL3/ACAD11/USP46/ZDHHC18/NUDT15/ARSK/MICAL2/GCLM/MKNK2/TRMT2B/UBIAD1/HTATIP2/PHLPP2/PLCD4/PTPRB/RAP2A/SUMF1/UAP1/POMK/PCBD1/EDEM1/DOHH/LBR/OMA1/ACVR2B/HAS3/CMPK1/EGLN3/PM20D2/RPS6KA1/P4HB/PADI3/DDHD2/PRKAA2/RAB15/ARG2/CYP26B1/TAB1/ST6GALNAC6/RHEBL1/PLA2G3
MF,GO:0043169,cation binding,-1.6985761287094316,136,0.0021810419498662905,0.4985258403183505,ZHX2/MAST2/DTX3L/ANXA7/RNF180/STAC/PYGL/LANCL1/ERMP1/ADCY9/KDM7A/ADCY7/KLF11/DDHD1/FKBP9/TGFBR1/USP46/NUDT15/RBSN/ARSK/MICAL2/ASXL2/MKNK2/PHLPP2/PLCD4/RAP2A/SUMF1/ZMYND11/RASGRP2/ANO1/EDEM1/DOHH/OMA1/ACVR2B/EGLN3/RPS6KA1/PADI3/DDHD2/CDH20/TPM4/PRKAA2/ARG2/CYP26B1/ZNF367/RHEBL1/PLA2G3
MF,GO:0046872,metal ion binding,-1.7132163691863347,133,0.0023033409948276435,0.4985258403183505,ZHX2/MAST2/DTX3L/ANXA7/RNF180/STAC/LANCL1/ERMP1/ADCY9/KDM7A/ADCY7/KLF11/DDHD1/FKBP9/TGFBR1/USP46/NUDT15/RBSN/ARSK/MICAL2/ASXL2/MKNK2/PHLPP2/PLCD4/RAP2A/SUMF1/ZMYND11/RASGRP2/ANO1/EDEM1/DOHH/OMA1/ACVR2B/EGLN3/RPS6KA1/PADI3/DDHD2/CDH20/TPM4/PRKAA2/ARG2/CYP26B1/ZNF367/RHEBL1/PLA2G3
BP,GO:0007186,G protein-coupled receptor signaling pathway,1.9996136457439164,14,0.0025273884035985007,0.4985258403183505,ADCY1/NPBWR1/PDE4B/RGS17/MET/AKR1C3/TAPT1
MF,GO:0051020,GTPase binding,-1.88529432914785,27,0.0026517331931827154,0.4985258403183505,SH2D3A/DIAPH2/ALS2/CYFIP1/PAK1/PKN2/DOCK7/ANKRD27/MYO1C/WDR44/DOCK5/SBF2/EXOC2/MYO5A/DIAPH1/RIN1/KIF16B/RCC1/FNBP1L/TBC1D22B/CYTH1/DENND6A/RBSN/PLCD4/RASGRP2
MF,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",-1.9211301023893264,10,0.0036584963755878584,0.5895405588090149,KDM7A/MICAL2/PCBD1/DOHH/EGLN3/P4HB/CYP26B1
BP,GO:0009653,anatomical structure morphogenesis,-1.6768433868886836,80,0.006636129147846428,0.8597452769734018,NEDD4/FITM2/SS18L2/STARD13/DDHD1/TGFBR1/CLASP2/MICAL2/ASXL2/CNNM4/HTATIP2/PTPRB/RAP2A/OMA1/ACVR2B/RPS6KA1/P4HB/DDHD2/CDH20/SDC1/CYP26B1/TAB1/IL7R/PLA2G3
BP,GO:0002237,response to molecule of bacterial origin,1.877700745115728,10,0.0068596697630856525,0.8597452769734018,PDE4B/CLDN1/CARD9/DUSP10/WDR83/HNRNPA0/CDK4/LDOC1
BP,GO:0007417,central nervous system development,1.8487359456607508,29,0.009269168439219138,0.9641025641025642,CLDN3/ADCY1/NDRG4/NHLH2/TOX/APOD/C12orf57/MARCKSL1/PYGO2/RBPJ/DUSP10/CTNS/BAX
CC,GO:0001726,ruffle,-1.8096024420311398,15,0.011353399706388073,0.9641025641025642,CYFIP1/PAK1/MTM1/MYO1C/KLHL2/MYO5A/APPL2/TRPM7/DIAPH1/MTMR6/PLEKHA1/CDK6/CLASP2/RASGRP2
CC,GO:0005886,plasma membrane,-1.529390906727381,130,0.012184994804086448,0.9641025641025642,FNBP1L/LPCAT2/FUT1/PSEN2/MAST2/MTMR6/ANXA7/PLEKHA1/CYTH1/STAC/LANCL1/IL1RAP/ADCY9/ADCY7/NEDD4/SNX4/MAP4K2/PRKAR2A/NHS/DNAL4/TGFBR1/RBSN/CLASP2/SLC7A1/CNNM4/LRRC8B/PHLPP2/PLCD4/PTPRB/RAP2A/UAP1/OSBP2/RASGRP2/ANO1/ACVR2B/HAS3/P4HB/CDH20/SDC1/RAB15/CRLF3/ST6GALNAC6/RHEBL1/IL7R/PLA2G3
BP,GO:0043066,negative regulation of apoptotic process,-1.739012555175821,30,0.012744839803910212,0.9641025641025642,TGFBR1/GCLM/HTATIP2/ZMYND11/ARNT2/RPS6KA1/PRKAA2/ARG2/IL7R/PLA2G3
BP,GO:0009888,tissue development,1.6346166027544136,61,0.015127395279100557,0.9641025641025642,CLDN3/NDRG4/ALPK3/CALML5/UPK2/TOX/APOD/MET/CLDN1/PDCD6/AKR1C3/TAPT1/FOXQ1/CDKN1A/ACTA2/PYGO2/RBPJ/DUSP10/BAX/VGLL4/TBL1XR1/NUPR1/DYRK1B
BP,GO:0009617,response to bacterium,1.6796504477338816,16,0.015340737316753528,0.9641025641025642,C15orf48/NAALADL2/PDE4B/CLDN1/CARD9/RBPJ/DUSP10/WDR83/HNRNPA0
CC,GO:0071944,cell periphery,-1.4944919021303091,132,0.0170547388305502,0.9641025641025642,FNBP1L/LPCAT2/FUT1/PSEN2/MAST2/MTMR6/ANXA7/PLEKHA1/CYTH1/STAC/LANCL1/IL1RAP/ADCY9/ADCY7/NEDD4/SNX4/MAP4K2/PRKAR2A/NHS/DNAL4/TGFBR1/RBSN/CLASP2/SLC7A1/CNNM4/LRRC8B/PHLPP2/PLCD4/PTPRB/RAP2A/UAP1/OSBP2/RASGRP2/ANO1/ACVR2B/HAS3/P4HB/CDH20/SDC1/RAB15/CRLF3/ST6GALNAC6/RHEBL1/IL7R/PLA2G3
CC,GO:0098794,postsynapse,1.7390700517492081,13,0.018995497743736104,0.9641025641025642,PCDHB13/ADCY1/PDE4B/STX12
BP,GO:0050865,regulation of cell activation,-1.6364362575565203,19,0.01950740846552167,0.9641025641025642,RPS6KA1/ARG2/CYP26B1/IL7R/PLA2G3
BP,GO:0043069,negative regulation of programmed cell death,-1.6599015585555175,31,0.019768505370596164,0.9641025641025642,TGFBR1/GCLM/HTATIP2/ZMYND11/ARNT2/RPS6KA1/PRKAA2/ARG2/IL7R/PLA2G3
MF,GO:0005509,calcium ion binding,1.7011349882365587,24,0.01995727095237333,0.9641025641025642,PCDHB13/MEX3B/VWCE/CALML5/SMOC1/MCFD2/PDCD6/CALU
BP,GO:0051094,positive regulation of developmental process,-1.6089546810093205,42,0.020299375903224476,0.9641025641025642,IL1RAP/SS18L2/DDHD1/TGFBR1/CLASP2/ASXL2/ACVR2B/RPS6KA1/P4HB/DDHD2/ARG2/CYP26B1/IL7R/PLA2G3
MF,GO:0140096,"catalytic activity, acting on a protein",-1.4659673766850272,93,0.022134196592932663,0.9641025641025642,PSEN2/MAST2/USP31/DTX3L/MTMR6/RNF180/ERMP1/MAP4K5/KDM7A/NEDD4/CDKL1/CDK6/MAP4K2/CAMKK1/FKBP9/TGFBR1/USP46/ZDHHC18/MKNK2/HTATIP2/PHLPP2/PTPRB/POMK/OMA1/ACVR2B/EGLN3/PM20D2/RPS6KA1/P4HB/PRKAA2/TAB1
BP,GO:0034329,cell junction assembly,1.7333801792302441,20,0.0221693700414668,0.9641025641025642,PCDHB13/CLDN3/CLDN9/APOD/CLDN1
CC,GO:0005925,focal adhesion,-1.6320833403841264,16,0.022441141014381712,0.9641025641025642,ITGA6/CYFIP1/PAK1/MAPRE1/DOCK7/YES1/DCTN4/ACTG1/KLF11/PRKAR2A/NHS/CLASP2/P4HB/TPM4
CC,GO:0030055,cell-substrate junction,-1.6320833403841264,16,0.022441141014381712,0.9641025641025642,ITGA6/CYFIP1/PAK1/MAPRE1/DOCK7/YES1/DCTN4/ACTG1/KLF11/PRKAR2A/NHS/CLASP2/P4HB/TPM4
BP,GO:0050793,regulation of developmental process,-1.4563104701404457,79,0.02707027631554739,0.9641025641025642,ARNT/HMG20A/FUT1/ZHX2/ANXA7/IL1RAP/TOB2/NEDD4/FITM2/SS18L2/CDK6/STARD13/DDHD1/WWC2/TGFBR1/CLASP2/ASXL2/HTATIP2/RAP2A/OMA1/ACVR2B/RPS6KA1/P4HB/DDHD2/ARG2/CYP26B1/IL7R/PLA2G3
BP,GO:0042981,regulation of apoptotic process,-1.561439890525569,54,0.028428550282137297,0.9641025641025642,KLF11/CRADD/TGFBR1/GCLM/HTATIP2/ZMYND11/ARNT2/OMA1/EGLN3/RPS6KA1/P4HB/PRKAA2/ARG2/IL7R/PLA2G3
BP,GO:0007268,chemical synaptic transmission,1.6486252929695622,15,0.02847551735941509,0.9641025641025642,PCDHB13/ADCY1/NPBWR1/RIC3
BP,GO:0098916,anterograde trans-synaptic signaling,1.6486252929695622,15,0.02847551735941509,0.9641025641025642,PCDHB13/ADCY1/NPBWR1/RIC3
MF,GO:0017016,Ras GTPase binding,-1.6541393121453403,21,0.028879870393242645,0.9641025641025642,DIAPH2/ALS2/CYFIP1/PAK1/PKN2/DOCK7/ANKRD27/MYO1C/WDR44/SBF2/EXOC2/MYO5A/DIAPH1/RIN1/KIF16B/RCC1/TBC1D22B/DENND6A/RBSN
MF,GO:0031267,small GTPase binding,-1.6541393121453403,21,0.028879870393242645,0.9641025641025642,DIAPH2/ALS2/CYFIP1/PAK1/PKN2/DOCK7/ANKRD27/MYO1C/WDR44/SBF2/EXOC2/MYO5A/DIAPH1/RIN1/KIF16B/RCC1/TBC1D22B/DENND6A/RBSN
BP,GO:0060548,negative regulation of cell death,-1.543993466691258,35,0.03170170435028647,0.9641025641025642,TGFBR1/GCLM/HTATIP2/ZMYND11/ARNT2/RPS6KA1/PRKAA2/ARG2/IL7R/PLA2G3
BP,GO:0051047,positive regulation of secretion,-1.626655823757517,14,0.03234936036304029,0.9641025641025642,MYO18A/MPC2/SNX4/CLASP2/ANO1/SDC1/RAB15/PLA2G3
BP,GO:1903532,positive regulation of secretion by cell,-1.626655823757517,14,0.03234936036304029,0.9641025641025642,MYO18A/MPC2/SNX4/CLASP2/ANO1/SDC1/RAB15/PLA2G3
BP,GO:0048468,cell development,1.516625797549482,58,0.03344221702180121,0.9641025641025642,CLDN3/ADCY1/NDRG4/ALPK3/TOX/APOD/MET/CLDN1/PDCD6/C12orf57/TAPT1/CDKN1A/ACTA2/VAMP7/VAMP7/PYGO2/KDM3A/DUSP10/BAX/STRBP/CYB5D2
BP,GO:0099536,synaptic signaling,1.5644547856588367,16,0.03376937385962243,0.9641025641025642,PCDHB13/ADCY1/NPBWR1/RIC3
BP,GO:0099537,trans-synaptic signaling,1.5644547856588367,16,0.03376937385962243,0.9641025641025642,PCDHB13/ADCY1/NPBWR1/RIC3
BP,GO:0044255,cellular lipid metabolic process,-1.5272932328573499,41,0.03401093839059009,0.9641025641025642,PIGN/SGMS2/CSNK2A2/LPIN3/MYO5A/APPL2/INPPL1/MTMR3/MTMR10/LPGAT1/LPCAT2/MTMR6/PLEKHA1/FITM2/DDHD1/ACAD11/PLCD4/SUMF1/DDHD2/SDC1/PRKAA2/CYP26B1/ST6GALNAC6/PLA2G3
CC,GO:0015630,microtubule cytoskeleton,-1.5521866053838203,49,0.034428277361290324,0.9641025641025642,SNX4/CDK6/PRKAR2A/DNAL4/TUBAL3/MAPKBP1/CLASP2/CEP128/MICALCL/DDHD2/PLA2G3/CAPN6/CCNB3
BP,GO:0051050,positive regulation of transport,-1.5962738427865153,25,0.03579693460895794,0.9641025641025642,MYO18A/MPC2/STAC/NEDD4/SNX4/CLASP2/ANO1/EDEM1/SDC1/RAB15/PLA2G3
BP,GO:0000003,reproduction,-1.5408107003729614,39,0.036323360117913206,0.9641025641025642,PLCD4/MICALCL/OSBP2/SDC1/EIF5A2/CYP26B1/PLA2G3/CCNB3
BP,GO:0022414,reproductive process,-1.5408107003729614,39,0.036323360117913206,0.9641025641025642,PLCD4/MICALCL/OSBP2/SDC1/EIF5A2/CYP26B1/PLA2G3/CCNB3
MF,GO:0046914,transition metal ion binding,-1.5770086162480645,25,0.03828709542868952,0.9641025641025642,LANCL1/KDM7A/RBSN/SUMF1/ZMYND11/DOHH/EGLN3/ARG2/CYP26B1
MF,GO:0036094,small molecule binding,-1.4444400382377645,90,0.0390902358965943,0.9641025641025642,IRGQ/PYGL/MAP4K5/ADCY9/ADCY7/CDKL1/CDK6/MAP4K2/CAMKK1/PRKAR2A/TGFBR1/TUBAL3/ACAD11/MICAL2/MKNK2/RAP2A/POMK/OSBP2/LBR/ACVR2B/CMPK1/EGLN3/RPS6KA1/PRKAA2/RAB15/CYP26B1/RHEBL1
BP,GO:0007399,nervous system development,1.4468951066561544,64,0.04339036916125696,0.9641025641025642,PCDHB13/CLDN3/ADCY1/NDRG4/NHLH2/TOX/APOD/MET/CLDN1/C12orf57/MARCKSL1/VAMP7/VAMP7/PYGO2/RBPJ/NGRN/DUSP10/CTNS/BAX
BP,GO:0043067,regulation of programmed cell death,-1.5090556153708652,55,0.04401170834737478,0.9641025641025642,KLF11/CRADD/TGFBR1/GCLM/HTATIP2/ZMYND11/ARNT2/OMA1/EGLN3/RPS6KA1/P4HB/PRKAA2/ARG2/IL7R/PLA2G3
BP,GO:0044238,primary metabolic process,-1.3324879440363777,339,0.04867336152154365,0.9641025641025642,IL1RAP/ERMP1/MAP4K5/ADCY9/KDM7A/TOB2/ADCY7/GABPB2/NEDD4/CDKL1/FITM2/SS18L2/CDK6/KLF11/MAP4K2/CAMKK1/CRADD/DDHD1/WWC2/PRKAR2A/FKBP9/TGFBR1/ACAD11/USP46/ZDHHC18/NUDT15/MICAL2/ASXL2/SAMD4A/GCLM/MKNK2/TRMT2B/PPP1R14C/HTATIP2/PHLPP2/PLCD4/PTPRB/RAP2A/SUMF1/UAP1/ZMYND11/POMK/ARNT2/PCBD1/EDEM1/DOHH/LBR/OMA1/ACVR2B/HAS3/CMPK1/EGLN3/PM20D2/RPS6KA1/P4HB/FCF1/PADI3/DDHD2/SDC1/PRKAA2/SCML1/EIF5A2/ARG2/CYP26B1/CRLF3/TAB1/ZNF367/ST6GALNAC6/RHEBL1/IL7R/PLA2G3/CCNB3
CC,GO:0005887,integral component of plasma membrane,1.5456630014882113,26,0.04887218045112782,0.9641025641025642,PCDHB13/CLDN3/ADCY1/UPK2/NPBWR1/MET/CLDN1
CC,GO:0031226,intrinsic component of plasma membrane,1.5456630014882113,26,0.04887218045112782,0.9641025641025642,PCDHB13/CLDN3/ADCY1/UPK2/NPBWR1/MET/CLDN1
MF,GO:0005488,binding,-1.355878981830484,477,0.04941458098207628,0.9641025641025642,PYGL/DENND6A/LANCL1/IL1RAP/ERMP1/MAP4K5/ADCY9/KDM7A/TOB2/ADCY7/GABPB2/NEDD4/CDKL1/FITM2/SNX4/SS18L2/CDK6/STARD13/KLF11/MAP4K2/CAMKK1/CRADD/DDHD1/WWC2/PRKAR2A/DNAL4/FKBP9/TGFBR1/TUBAL3/ACAD11/USP46/NUDT15/RBSN/ARSK/C3orf52/MAPKBP1/CLASP2/MICAL2/TMEM183A/ASXL2/SAMD4A/SLC7A1/GCLM/MKNK2/TRMT2B/CNNM4/UBIAD1/HTATIP2/LRRC8B/PHLPP2/PLCD4/PTPRB/RAP2A/SUMF1/UAP1/ZMYND11/LGALSL/MICALCL/POMK/OSBP2/RASGRP2/ANO1/ARNT2/SCARA3/PCBD1/EDEM1/DOHH/LBR/OMA1/ACVR2B/HAS3/KLHL29/CMPK1/EGLN3/PM20D2/RPS6KA1/P4HB/FCF1/PADI3/DDHD2/CDH20/SDC1/TPM4/PRKAA2/SCML1/EIF5A2/RAB15/ARG2/CYP26B1/CRLF3/TAB1/ZNF367/ST6GALNAC6/RHEBL1/IL7R/PLA2G3/CAPN6/CCNB3
BP,GO:0006820,anion transport,-1.6054836947192335,13,0.05060728744939271,0.9641025641025642,SLC25A43/CLCC1/MPC2/SLC7A1/LRRC8B/ANO1/PRKAA2/PLA2G3
BP,GO:0031323,regulation of cellular metabolic process,-1.33910023728689,215,0.052189185702574525,0.9641025641025642,IL1RAP/MAP4K5/ADCY9/KDM7A/TOB2/ADCY7/GABPB2/NEDD4/FITM2/SS18L2/CDK6/KLF11/MAP4K2/CAMKK1/CRADD/WWC2/PRKAR2A/TGFBR1/USP46/NUDT15/MICAL2/ASXL2/SAMD4A/MKNK2/PPP1R14C/HTATIP2/PTPRB/RAP2A/ZMYND11/ARNT2/PCBD1/EDEM1/ACVR2B/HAS3/EGLN3/PM20D2/RPS6KA1/PRKAA2/SCML1/EIF5A2/ARG2/CRLF3/TAB1/ZNF367/RHEBL1/IL7R/PLA2G3/CCNB3
BP,GO:0010941,regulation of cell death,-1.4450681465511808,58,0.052521008403361345,0.9641025641025642,KLF11/CRADD/TGFBR1/GCLM/HTATIP2/ZMYND11/ARNT2/OMA1/EGLN3/RPS6KA1/P4HB/PRKAA2/ARG2/IL7R/PLA2G3
BP,GO:0007283,spermatogenesis,-1.5314695960746088,20,0.05636743215031315,0.9641025641025642,MICALCL/OSBP2/EIF5A2/CYP26B1/PLA2G3
BP,GO:0060255,regulation of macromolecule metabolic process,-1.3225568007187507,216,0.05707762557077625,0.9641025641025642,IL1RAP/MAP4K5/ADCY9/KDM7A/TOB2/ADCY7/GABPB2/NEDD4/SS18L2/CDK6/KLF11/MAP4K2/CAMKK1/CRADD/WWC2/PRKAR2A/TGFBR1/USP46/NUDT15/MAPKBP1/MICAL2/ASXL2/SAMD4A/MKNK2/PPP1R14C/HTATIP2/PTPRB/RAP2A/ZMYND11/ARNT2/PCBD1/EDEM1/ACVR2B/HAS3/EGLN3/PM20D2/RPS6KA1/PRKAA2/SCML1/EIF5A2/ARG2/CYP26B1/CRLF3/TAB1/ZNF367/RHEBL1/IL7R/CCNB3
