sample_ID,Sample_Name,Group_info
I10_S31_R1_trimmed.genes.results,I10,I
I2_S3_R1_trimmed.genes.results,I2,I
I4_S7_R1_trimmed.genes.results,I4,I
I5_S11_R1_trimmed.genes.results,I5,I
I6_S15_R1_trimmed.genes.results,I6,I
I7_S19_R1_trimmed.genes.results,I7,I
I8_S23_R1_trimmed.genes.results,I8,I
I9_S27_R1_trimmed.genes.results,I9,I
IC10_S32_R1_trimmed.genes.results,IC10,IC
IC2_S4_R1_trimmed.genes.results,IC2,IC
IC4_S8_R1_trimmed.genes.results,IC4,IC
IC5_S12_R1_trimmed.genes.results,IC5,IC
IC6_S16_R1_trimmed.genes.results,IC6,IC
IC7_S20_R1_trimmed.genes.results,IC7,IC
IC8_S24_R1_trimmed.genes.results,IC8,IC
IC9_S28_R1_trimmed.genes.results,IC9,IC
M10_S29_R1_trimmed.genes.results,M10,M
M2_S1_R1_trimmed.genes.results,M2,M
M4_S5_R1_trimmed.genes.results,M4,M
M5_S9_R1_trimmed.genes.results,M5,M
M6_S13_R1_trimmed.genes.results,M6,M
M7_S17_R1_trimmed.genes.results,M7,M
M8_S21_R1_trimmed.genes.results,M8,M
M9_S25_R1_trimmed.genes.results,M9,M
MC10_S30_R1_trimmed.genes.results,MC10,MC
MC2_S2_R1_trimmed.genes.results,MC2,MC
MC4_S6_R1_trimmed.genes.results,MC4,MC
MC5_S10_R1_trimmed.genes.results,MC5,MC
MC6_S14_R1_trimmed.genes.results,MC6,MC
MC7_S18_R1_trimmed.genes.results,MC7,MC
MC8_S22_R1_trimmed.genes.results,MC8,MC
MC9_S26_R1_trimmed.genes.results,MC9,MC
