ONTOLOGY,ID,Description,Fold_Enrichment_Score,Count,pvalue,p.adjust,geneID
BP,GO:0016236,macroautophagy,3.2778715645891014,26,1.243942161579451e-7,5.060356713305207e-4,VMP1/NEDD4/CSNK2A2/RAB7A/SESN1/MTMR3/PRKAG2/STX12/PIK3CA/VPS4A/SNX14/MAP3K7/SNAPIN/PIP4K2A/TRAPPC8/PRKAA2/WDFY3/CDK5/GABARAP/MTM1/TOMM20/NUPR1/GBA/ATG9B/CSNK2B/LIX1L
BP,GO:0008654,phospholipid biosynthetic process,3.289993870671162,23,6.234584195442466e-7,0.0012681144253529975,PIGB/CSNK2A2/DDHD2/LPCAT2/MTMR3/DDHD1/PLEKHA1/PTPMT1/GNPAT/PIK3CA/LPGAT1/LPIN3/DPM2/MTMR6/MTMR12/PIP4K2A/CDS1/SGMS2/INPPL1/MTM1/FITM2/PIGN/CSNK2B
CC,GO:0010008,endosome membrane,2.57771204686868,32,1.1176208370599322e-6,3.1026130128877956e-4,STARD3NL/SNX1/AP5M1/RAB7A/KIF16B/SPG21/TAB1/EEA1/EHD4/SNX4/STX12/WDR83/VAMP7/RAP2A/MYO1B/YIPF2/RBSN/WDR44/VPS4A/SBF2/SNX14/MAP3K7/CD164/APPL2/ITM2B/KIF13A/RAB15/ZFYVE27/DTX3L/RAP2B/PRAF2/CHMP1B
CC,GO:0061695,"transferase complex, transferring phosphorus-containing groups",3.2775011522565336,22,1.1910222698225703e-6,3.1026130128877956e-4,CDK6/PRKAG2/TGFBR1/GTF2H1/CCND3/TBP/PRKAR2A/ACVR2B/CD3EAP/PIK3CA/CDKN1A/POLR3F/MAP3K7/CDK4/RTF1/CCNB3/NRBF2/PRKAA2/CDK5/POLR2J3/TADA3/POLR3C
BP,GO:0046474,glycerophospholipid biosynthetic process,3.427763599977968,20,1.7830963770344944e-6,0.0014806035590505767,PIGB/CSNK2A2/DDHD2/LPCAT2/MTMR3/DDHD1/PLEKHA1/PTPMT1/GNPAT/PIK3CA/LPIN3/DPM2/MTMR6/MTMR12/PIP4K2A/CDS1/INPPL1/MTM1/PIGN/CSNK2B
BP,GO:0006914,autophagy,2.4744168487340956,33,1.8198175504554776e-6,0.0014806035590505767,VMP1/NEDD4/CSNK2A2/RAB7A/SESN1/MTMR3/MET/PRKAG2/STX12/PIK3CA/ATG4D/VPS4A/SBF2/SNX14/MAP3K7/FNBP1L/ANXA7/MCL1/SNAPIN/NRBF2/PIP4K2A/TRAPPC8/PRKAA2/WDFY3/CDK5/GABARAP/MTM1/TOMM20/NUPR1/GBA/ATG9B/CSNK2B/LIX1L
BP,GO:0061919,process utilizing autophagic mechanism,2.4744168487340956,33,1.8198175504554776e-6,0.0014806035590505767,VMP1/NEDD4/CSNK2A2/RAB7A/SESN1/MTMR3/MET/PRKAG2/STX12/PIK3CA/ATG4D/VPS4A/SBF2/SNX14/MAP3K7/FNBP1L/ANXA7/MCL1/SNAPIN/NRBF2/PIP4K2A/TRAPPC8/PRKAA2/WDFY3/CDK5/GABARAP/MTM1/TOMM20/NUPR1/GBA/ATG9B/CSNK2B/LIX1L
BP,GO:0045017,glycerolipid biosynthetic process,3.111617275916255,21,4.633328535049572e-6,0.0031413967467636096,PIGB/CSNK2A2/DDHD2/LPCAT2/MTMR3/DDHD1/PLEKHA1/PTPMT1/GNPAT/PIK3CA/LPIN3/DPM2/MTMR6/MTMR12/PIP4K2A/CDS1/INPPL1/MTM1/FITM2/PIGN/CSNK2B
CC,GO:1902911,protein kinase complex,4.601895904773874,13,4.947457293887104e-6,8.592084167050603e-4,CDK6/PRKAG2/TGFBR1/GTF2H1/CCND3/PRKAR2A/ACVR2B/CDKN1A/MAP3K7/CDK4/CCNB3/PRKAA2/CDK5
BP,GO:0006650,glycerophospholipid metabolic process,2.798086650264147,24,6.210361928549533e-6,0.0036091074750484995,PIGB/CSNK2A2/DDHD2/LPCAT2/PLA2G3/MTMR3/DDHD1/IMPAD1/PLEKHA1/PTPMT1/PLCD4/GNPAT/PIK3CA/LPGAT1/LPIN3/DPM2/MTMR6/MTMR12/PIP4K2A/CDS1/INPPL1/MTM1/PIGN/CSNK2B
BP,GO:0006977,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",5.977162777461583,9,1.6835415544613988e-5,0.0070509126375979765,BAX/CNOT6/CDKN1A/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:0072431,signal transduction involved in mitotic G1 DNA damage checkpoint,5.872300272593836,9,1.95216386103738e-5,0.0070509126375979765,BAX/CNOT6/CDKN1A/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:1902400,intracellular signal transduction involved in G1 DNA damage checkpoint,5.872300272593836,9,1.95216386103738e-5,0.0070509126375979765,BAX/CNOT6/CDKN1A/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:1902115,regulation of organelle assembly,3.2590257526594653,17,2.044287803626345e-5,0.0070509126375979765,MTMR3/CDKL1/STAG2/CNOT6/SDC1/WRAP73/G3BP2/PIP4K2A/HNRNPU/PRKAA2/TAPT1/MTM1/TRAPPC12/NUPR1/IL1RAP/NUP62/CHMP1B
MF,GO:0004674,protein serine/threonine kinase activity,2.338100227790433,29,2.19607428868532e-5,0.015262716306362974,CAMKK1/MAP4K5/PKN2/CSNK2A2/MAST2/TRPM7/MKNK2/CDKL1/DYRK1B/CDK6/PRKAG2/TGFBR1/GTF2H1/CCND3/ACVR2B/RPS6KA1/PIK3CA/STK26/TAOK3/MAP3K7/CDK4/ALPK3/BMP2K/PAK1/RPS6KA4/PRKAA2/CDK5/MAP4K2/CSNK2B
BP,GO:0009791,post-embryonic development,4.6489043824701195,11,2.3529073106753755e-5,0.0070509126375979765,RC3H2/BAX/IMPAD1/TGFBR1/PLEKHA1/C12orf57/ACVR2B/PLAGL2/PYGO2/INPPL1/TAPT1
BP,GO:0072413,signal transduction involved in mitotic cell cycle checkpoint,5.673239246404214,9,2.5998940404122332e-5,0.0070509126375979765,BAX/CNOT6/CDKN1A/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:1902402,signal transduction involved in mitotic DNA damage checkpoint,5.673239246404214,9,2.5998940404122332e-5,0.0070509126375979765,BAX/CNOT6/CDKN1A/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:1902403,signal transduction involved in mitotic DNA integrity checkpoint,5.673239246404214,9,2.5998940404122332e-5,0.0070509126375979765,BAX/CNOT6/CDKN1A/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:0071156,regulation of cell cycle arrest,4.13235945108455,12,3.361993744681096e-5,0.008429399315654156,BAX/CNOT6/CDKN1A/CDK4/CNOT11/CDK5/CRADD/TRIAP1/CRLF3/PIDD1/CNOT10/CNOT7
BP,GO:0007033,vacuole organization,3.422506293843033,15,3.522610333483792e-5,0.008429399315654156,VMP1/RAB7A/MTMR3/STX12/VPS4A/MBTPS1/SNAPIN/PIP4K2A/TRAPPC8/GABARAP/MTM1/NUPR1/GBA/ATG9B/TMEM199
BP,GO:0072331,signal transduction by p53 class mediator,2.785860304101944,20,3.884953213726708e-5,0.00877999426302236,USP28/CSNK2A2/BAX/RBBP7/PRKAG2/ING4/TBP/CNOT6/CDKN1A/CNOT11/PRKAA2/RBBP4/CDK5/CRADD/TRIAP1/NUPR1/PIDD1/CNOT10/CNOT7/CSNK2B
CC,GO:0001726,ruffle,3.364982023392345,15,4.354327543652073e-5,0.005671511625606826,ALS2/RASGRP2/TRPM7/CDK6/PLEKHA1/KLHL2/DIAPH1/APPL2/MTMR6/PAK1/CLASP2/MTM1/MYO5A/MYO1C/CYFIP1
BP,GO:0031571,mitotic G1 DNA damage checkpoint,5.313033579965851,9,4.452546279882082e-5,0.009056479133280155,BAX/CNOT6/CDKN1A/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:0044819,mitotic G1/S transition checkpoint,5.313033579965851,9,4.452546279882082e-5,0.009056479133280155,BAX/CNOT6/CDKN1A/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:0006354,"DNA-templated transcription, elongation",3.984775184974388,12,4.8330144995967035e-5,0.0090606230493319,ZMYND11/THOC5/HTATSF1/ELL/GTF2H1/TBP/CD3EAP/RTF1/EAF1/HNRNPU/RNF168/LDB1
BP,GO:0044783,G1 DNA damage checkpoint,5.230017430278885,9,5.059447084897562e-5,0.0090606230493319,BAX/CNOT6/CDKN1A/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:0032784,"regulation of DNA-templated transcription, elongation",5.950597609561753,8,5.1377362808898714e-5,0.0090606230493319,ZMYND11/THOC5/HTATSF1/ELL/RTF1/HNRNPU/RNF168/LDB1
BP,GO:1905037,autophagosome organization,4.261495683930943,11,5.345500324089616e-5,0.0090606230493319,VMP1/RAB7A/MTMR3/STX12/PIP4K2A/TRAPPC8/GABARAP/MTM1/NUPR1/GBA/ATG9B
CC,GO:0031252,cell leading edge,2.393618312752206,25,5.684327420600644e-5,0.005923069172265871,ALS2/SNX1/PKN2/RASGRP2/TRPM7/CDK6/PLEKHA1/ACTA2/KLHL2/PIK3CA/VAMP7/DIAPH1/APPL2/MTMR6/PAK1/CLASP2/CDK5/INPPL1/MTM1/NHS/MYO5A/PARVA/MYO1C/LDB1/CYFIP1
BP,GO:0046486,glycerolipid metabolic process,2.3356814288738765,26,6.0064703544597634e-5,0.009773728560776927,PIGB/CSNK2A2/DDHD2/LPCAT2/PLA2G3/MTMR3/DDHD1/IMPAD1/PLEKHA1/PTPMT1/PLCD4/GNPAT/PIK3CA/LPGAT1/LPIN3/DPM2/MTMR6/MTMR12/PIP4K2A/CDS1/INPPL1/MTM1/TBL1XR1/FITM2/PIGN/CSNK2B
BP,GO:0071158,positive regulation of cell cycle arrest,4.5355164707025555,10,6.82094512403152e-5,0.010292086143480369,BAX/CNOT6/CDKN1A/CNOT11/CRADD/TRIAP1/CRLF3/PIDD1/CNOT10/CNOT7
